ex_serial|ex_type|ex_code|ex_body_part|ex_description
7196|CT|C100      |OT|CT IV Contrast 50ml
7235|CT|C101      |OT|CT IV Contrast 100ml
7236|CT|C102      |OT|CT IV Contrast 150ml
7146|CT|FASTCT    |OT|MCI - Any CT protocol
6227|CT|NMCBCT    |HD|NMDHB Cone Beam CT - NO REPORT
914|CT|P01       |OT|PET/CT Scan
7222|CT|PANDEMICCT|NA|Pandemic appt delay/reschedule CT
938|CT|Q007      |HD|CT FACIAL BONES - NON TRAUMA
940|CT|Q009      |NK|CT PITUITARY FOSSA C+
505|CT|Q01       |HD|CT HEAD C-
7307|CT|Q01A      |HD|CT HEAD C- SEC
7089|CT|Q01D      |HD|CT HEAD DEMENTIA C-
506|CT|Q02       |HD|CT HEAD C+
609|CT|Q03       |HD|CT HEAD PERFUSION C+
508|CT|Q05       |HD|CT HEAD TRAUMA
509|CT|Q06       |HD|CT FACIAL BONES
7311|CT|Q06A      |HD|CT FACIAL BONES SEC
510|CT|Q07       |HD|CT FACIAL BONES C-
511|CT|Q08       |HD|CT TEMPORAL BONES C-
6969|CT|Q08C      |HD|CT TEMPORAL BONES C+
512|CT|Q09       |NK|CT NECK C+
7313|CT|Q09A      |NK|CT NECK C+ SEC
513|CT|Q10       |HD|CT ORBITS SOFT TISSUE C-
887|CT|Q101      |AB|CT ABDOMEN CYSTOGRAM C+
897|CT|Q104      |CH|CTA AORTA TAVI C+
1074|CT|Q105      |AB|CTA ABDOMEN DIEA C+
1075|CT|Q106      |HD|CT HEAD VENOGRAM C+
3361|CT|Q107      |UL|CT EXTREMITY - UPPER LIMB C-
7323|CT|Q107A     |UL|CT EXTREMITY - UPPER LIMB C- SEC
6974|CT|Q107C     |UL|CT EXTREMITY - UPPER LIMB C+
7324|CT|Q107CA    |UL|CT EXTREMITY - UPPER LIMB C+ SEC
3362|CT|Q108      |LO|CT EXTREMITY - LOWER LIMB C-
7328|CT|Q108A     |LO|CT EXTREMITY - LOWER LIMB C- SEC
6975|CT|Q108C     |LO|CT EXTREMITY - LOWER LIMB C+
7329|CT|Q108CA    |LO|CT EXTREMITY - LOWER LIMB C+ SEC
3862|CT|Q109      |LO|CT EXTREMITY - GOUT C-
6970|CT|Q10C      |HD|CT ORBITS SOFT TISSUE C+
514|CT|Q11       |HD|CT ORBITS C-
3863|CT|Q110      |OT|CT SKELETAL SURVEY
3232|CT|Q111      |OT|CT HEAD SPINE CHEST ABDOMEN TRAUMA C+
3864|CT|Q112      |AB|CT ABDOMEN PERITONOGRAPHY C+
6072|CT|Q113      |NK|CT PARATHYROID C+
6307|CT|Q116      |UA|CT SHOULDER C-
7325|CT|Q116A     |UA|CT SHOULDER TRAUMA C- SEC
6308|CT|Q117      |LA|CT ELBOW C-
7346|CT|Q117A     |LA|CT ELBOW TRAUMA C- SEC (NO REPT)
6309|CT|Q118      |WR|CT WRIST C-
7326|CT|Q118A     |WR|CT WRIST TRAUMA C- SEC
6310|CT|Q119      |WR|CT HAND OR FINGER C-
7327|CT|Q119A     |WR|CT HAND OR FINGER TRAUMA C- SEC
7309|CT|Q11A      |HD|CT ORBITS C- SEC
515|CT|Q12       |HD|CT SINUSES C-
6311|CT|Q120      |PV|CT HIP C-
6312|CT|Q121      |PV|CT KNEE C-
7344|CT|Q121A     |PV|CT KNEE TRAUMA C- SEC
6313|CT|Q122      |FT|CT ANKLE C-
7330|CT|Q122A     |FT|CT ANKLE TRAUMA C- SEC
6314|CT|Q123      |FT|CT FOOT OR TOE C-
7331|CT|Q123A     |FT|CT FOOT OR TOE TRAUMA C- SEC
6315|CT|Q124      |OT|CT GUIDED ABLATION
6316|CT|Q125      |OT|CT GUIDED INJECTION
6320|CT|Q126      |OT|CT HEAD C SPINE C-
7538|CT|Q127      |CH|CTCA + GRAFT
7308|CT|Q12A      |HD|CT SINUSES C- SEC
6971|CT|Q12C      |HD|CT SINUSES C+
516|CT|Q13       |NK|CT NECK THYROID
6325|CT|Q130      |AB|CT HEAD CHEST ABDOMEN C+
6326|CT|Q131      |AB|CT HEAD NECK CHEST ABDOMEN C+
6327|CT|Q132      |NK|CT NECK CHEST C+
6328|CT|Q133      |AB|CT NECK CHEST ABDOMEN C+
3707|CT|Q134      |AB|CTH CRG MAPPING ONLY
6330|CT|Q135      |OT|CT ROTATIONAL PROFILES
6331|CT|Q136      |NK|CT SALIVARY GLANDS C-
6521|CT|Q137      |CH|CT CHEST FROM CTA
6792|CT|Q138      |HD|CT HEAD SPINE CERVICAL TRAUMA C+
6793|CT|Q139      |CD|CT CHEST ABDOMEN SPINE TRAUMA C+
7372|CT|Q139B     |CD|CT CHEST ABDOMEN SPINE TRAUMA BIPHASI C+
7314|CT|Q13A      |NK|CT NECK THYROID SEC
608|CT|Q14       |CH|CT CHEST C- Thick Slices
6826|CT|Q140      |CH|CTA CHEST BRONCHIAL ARTERIES C+
6897|CT|Q141      |OT|CT LIMITED BODY MORTUARY
6898|CT|Q142      |OT|CT FULL BODY MORTUARY
6920|CT|Q143      |NK|CT DYNAMIC AIRWAYS C-
6992|CT|Q145      |PV|CT PELVIS SOFT TISSUE C-
6993|CT|Q146      |PV|CT PELVIS PRE OPERATIVE C-
6994|CT|Q147      |CD|CT CHEST ABDOMEN PELVIS PAED C+
6995|CT|Q148      |CH|CT CHEST EXP PAED C-
6996|CT|Q149      |CH|CTA CHEST PAED C+
517|CT|Q15       |CH|CT CHEST C+ Thick Slices
6997|CT|Q150      |OT|CT FULL BODY POST MORTEM PAED
6998|CT|Q151      |HD|CT ORBITAL CELLULITIS PAED C+
6999|CT|Q152      |NK|CT CERVICAL SPINE PAED C-
7000|CT|Q153      |HD|CT SINUSES PAED C-
7001|CT|Q154      |HD|CT TEMPORAL BONES PAED C-
7077|CT|Q155      |AB|CT LIVER VOLUMES
518|CT|Q16       |CH|CT CHEST - SVCO C+
519|CT|Q17       |CH|CT CHEST C-
7315|CT|Q17A      |CH|CT CHEST C- SEC
6922|CT|Q17E      |CH|CT CHEST + EXP HRCT C-
6924|CT|Q17EP     |CH|CT CHEST + EXP + PRONE HRCT C-
6811|CT|Q17LD     |CH|CT CHEST LOW DOSE C-
7171|CT|Q17OC     |CH|CT CHEST OESOPHAGUS C+
6923|CT|Q17P      |CH|CT CHEST + PRONE HRCT C-
520|CT|Q18       |CH|CT CHEST C+
7316|CT|Q18A      |CH|CT CHECT C+ SEC
